4605	Illinois College of Optometry
9507	Sangji University
15855	Manchester Institute of Innovation Research
19722	Ateneo de Manila University
41870	Instituto Militar de Engenharia
43886	Sapientia University
46017	Kahramanmaraş Sütçü İmam University
47844	Al Akhawayn University
52325	Oswaldo Cruz Foundation
80043	Curie Institute
95127	Sorenson Molecular Genealogy Foundation
164828	SEMATECH
188774	Mahindra Satyam
189835	Ericsson Mobile Platforms
189991	University of Veterinary Medicine Hanover
195165	Unitika Ltd.
206405	New York Telephone
215927	University of Madras
225835	Wayne County Community College District
226432	Universiti Malaysia Kelantan
241749	University of Cambridge
251738	Edinburgh Napier University
271100	Federal Energy Regulatory Commission
275328	Saybrook University
277149	Augustana University College
280915	Miami Project to Cure Paralysis
280994	King George's Medical University
305386	Colgate-Palmolive
308837	Suzhou University of Science and Technology
310553	Tohoku Gakuin University
313030	National University of Jujuy
324100	Bowie State University
352274	Deccan College Post-Graduate and Research Institute
354108	Minjiang University
365282	Albany College of Pharmacy and Health Sciences
376102	Agricultural Research Organization, Volcani Center
376670	Turkish Academy of Sciences
389346	Isabela State University
391668	Cheju Halla University
392282	University at Albany, SUNY
430192	Appalachian State University
430641	United States Air Force Academy
433269	Royal Society for the Conservation of Nature
443046	Indian River State College
443798	National Defense Academy of Japan
454632	Hella
464993	Barkatullah University
505182	National Textile University
530967	Ryerson University
531307	Manipal College of Dental Sciences, Mangalore
548769	International Pharmaceutical Federation
581031	Central Institute of Fisheries Education
592451	Indiana University
596593	Society for the Psychological Study of Social Issues
597057	State University of Campinas School of Electrical and Computer Engineering
612282	Siberian State Industrial University
617233	University of San Carlos
627507	Aurora Mental Health Center
629287	Simón Bolívar University
662221	Trent University
675453	Vorarlberg University of Applied Sciences
686019	AGH University of Science and Technology
699696	National Institute of Mental Health and Neurosciences
708430	University of La Verne
721619	Benemérita Universidad Autónoma de Puebla
734295	Harbor Branch Oceanographic Institute
746868	Alice Lloyd College
746986	Halmstad University
761300	Gokhale Memorial Girls' College
761543	South Colombian University
781764	Australasian College for Emergency Medicine
808010	University of Worcester
814099	Ivoclar Vivadent
822440	Okanagan University College
830141	National Housing Federation
848706	Sungkyunkwan University
872719	Bellarmine University
880852	Wang Institute of Graduate Studies
883357	Fashion Institute of Technology
899646	Punjab Agricultural University
899802	Central Marine Fisheries Research Institute
905417	State Electricity Commission of Victoria
909555	SES S.A.
951315	Graduate Institute of International and Development Studies
960905	Nepal Rastra Bank
967637	Gannon University
992397	University of Borås
1003870	Universal College of Learning
1049131	Tung Fang Design Institute
1092030	American Association of School Administrators
1099802	Shenyang Medical College
1102219	Tarumanagara University
1118541	University of East Anglia
1121959	New England Board of Higher Education
1137423	AeA
1141210	Indian Agricultural Statistics Research Institute
1157684	Indian School of International Studies
1160206	Methodist College Belfast
1174212	University of Southern California
1175298	Randolph College
1183665	Softwin
1187138	Razi University
1192164	Federal Counterintelligence Service
1196224	Southern Nazarene University
1200945	Klabin
1226867	National Literacy Trust
1245340	Mitsubishi Heavy Industries
1257788	Diagnosticos da America
1268775	Facultad de Ciencias Médicas
1320687	Institute of Materials, Minerals and Mining
1351752	Koç University
1354457	Colorado Mesa University
1355163	Sinai University
1355514	Wildlife Conservation Society of Tanzania
1443707	Jimma University
1456306	North China University of Technology
1479568	St. Stephen's College, Delhi
1516879	Tarbiat Modares University
1561573	B. P. Poddar Institute of Management & Technology
1581253	Argosy University, Seattle
1589757	TVS Motor Company
1613860	Livestock Improvement Corporation
1629065	Central Michigan University
1632182	Konrad Lorenz Institute for Evolution and Cognition Research
1636034	Dr. Reddy's Laboratories
1641709	Toccoa Falls College
1648549	University of Zulia
1662191	University of Puerto Rico, Río Piedras
1701708	British American Tobacco
1723204	Expro
1743320	Palo Alto University
1745920	University of Wisconsin–Platteville
1767917	Queensland Conservatorium Griffith University
1784250	Lone Star College–Montgomery
1793135	Yanbian University
1801660	Automated Logic Corporation
1823064	Norwegian Academy of Music
1836511	The Vanguard Group
1848394	Southeastern Baptist Theological Seminary
1850255	University of Basel
1877545	Caritas Institute of Higher Education
1902872	Institut Eurécom
1921588	University of Wisconsin–Stout
1922660	GE Transportation
1925986	Loyola University Chicago
1928395	Tara Institute
1947432	Carma
1966735	Gunma Prefectural Women's University
1971141	Kolling Institute of Medical Research
1981725	National Trust for Scotland
2004880	Irish Management Institute
2036976	Transelectrica
2087004	IPG Photonics
2125089	Sweet Briar College
2132711	Kutztown University of Pennsylvania
2135383	Escuela Superior Politecnica del Litoral
